id_tempo,nu_dia,nu_mes,nu_ano,nu_trimestre,nu_semestre,dt_tempo
101429,4,1,2012,1,1,2012-01-04
101430,6,7,2020,3,2,2020-07-06
101442,24,6,2020,2,1,2020-06-24
101455,5,8,2019,3,2,2019-08-05
101507,2,3,2020,1,1,2020-03-02
101543,21,7,2018,3,2,2018-07-21
101559,3,5,2021,2,1,2021-05-03
101572,1,5,2018,2,1,2018-05-01
101595,29,9,2018,3,2,2018-09-29
101607,7,7,2018,3,2,2018-07-07
101611,6,8,2012,3,2,2012-08-06
101616,5,12,2009,4,2,2009-12-05
101624,25,2,2016,1,1,2016-02-25
101633,21,2,2018,1,1,2018-02-21
101647,16,4,2014,2,1,2014-04-16
101649,1,4,2021,2,1,2021-04-01
101668,21,1,2016,1,1,2016-01-21
101669,13,1,2019,1,1,2019-01-13
101680,13,1,2020,1,1,2020-01-13
101681,3,11,2010,4,2,2010-11-03
101692,5,9,2017,3,2,2017-09-05
101708,6,11,2011,4,2,2011-11-06
101730,8,9,2012,3,2,2012-09-08
101747,11,10,2017,4,2,2017-10-11
101925,5,12,2020,4,2,2020-12-05
102063,15,9,2016,3,2,2016-09-15
