id_camera,nm_camera,nm_fabricante,id_tipo_camera
9187,XT1254,MOTOROLA,91
9188,SM-G975F,SAMSUNG,91
9189,DSC-HX99,SONY,91
9190,LEICA T (Typ 701),LEICA,91
9191,Canon EOS R,CANON,87
9192,COOLPIX P330,NIKON,91
9193,Canon EOS M200,CANON,87
9194,Canon EOS 2000D,CANON,87
9195,Canon PowerShot G5 X,CANON,91
9196,FinePix X100,FUJIFILM,91
9197,DMC-TZ80,PANASONIC,91
9198,SIGMA SD15,SIGMA,91
9199,iPhone X,APPLE,91
9200,E-M10 Mark III,OLYMPUS,91
9201,CPH2021,OPPO,91
9203,NIKON D600,NIKON,87
9204,XQ-AS72,SONY,91
9205,DSC-HX400V,SONY,91
9206,Canon EOS Rebel T100,CANON,87
9207,Canon EOS M100,CANON,87
9208,Canon PowerShot S70,CANON,91
9209,DMC-TZ40,PANASONIC,91
9210,DMC-FZ330,PANASONIC,91
9211,MD86929,MEDION,91
9212,SM-A750FN,SAMSUNG,91
9213,DSC-R1,SONY,91
9214,DSC-RX100,SONY,91
9216,Redmi Note 8T,XIAOMI,91
9217,ILCE-6100,SONY,90
9218,NIKON D90,NIKON,87
9219,N/A,N/A,91
9220,ILCE-7RM3,SONY,90
9221,iPhone 12,APPLE,91
9222,WAS-AL00,HUAWEI,91
9223,Canon EOS-1Ds Mark II,CANON,87
9225,Canon EOS 4000D,CANON,87
9226,E-M10MarkII,OLYMPUS,91
9227,SM-M515F,SAMSUNG,91
9229,X-T4,FUJIFILM,91
9230,iPhone 8,APPLE,91
9231,SLT-A77V,SONY,91
9232,SM-A505FN,SAMSUNG,91
9233,iPhone 12 Pro,APPLE,91
9234,Canon EOS M50,CANON,87
9235,SIGMA dp3 Quattro,SIGMA,91
9236,Canon PowerShot G1 X Mark III,CANON,91
9237,SM-J320FN,SAMSUNG,91
9238,SM-M215F,SAMSUNG,91
9239,DMC-FZ1000,PANASONIC,91
9240,ILCE-1,SONY,90
9241,Canon EOS-1D Mark II,CANON,87
9242,Canon PowerShot G10,CANON,91
9243,ILCE-7C,SONY,90
9244,SM-A515F,SAMSUNG,91
9245,ILCA-99M2,SONY,91
9246,NIKON D300,NIKON,87
9247,NIKON D3S,NIKON,87
9248,HERO6 Black,GOPRO,91
9249,LEICA Q2,LEICA,91
9250,ASUS_I006D,ASUS,91
9251,DMC-TZ1,PANASONIC,91
9252,Canon EOS 200D,CANON,87
9253,GR II,RICOH,91
9254,ILCE-7,SONY,90
9255,SM-G9730,SAMSUNG,91
9256,X-A5,FUJIFILM,91
9257,DMC-LX100,PANASONIC,91
9258,"<Samsung NV3, Samsung VLUU NV3>",SAMSUNG,91
9259,NIKON D5300,NIKON,87
9260,Canon EOS 1300D,CANON,87
9261,DSC-RX10M4,SONY,91
9262,NIKON D7100,NIKON,87
9264,DC-G95,PANASONIC,91
9265,DC-G9,PANASONIC,91
9266,DMC-TZ101,PANASONIC,91
9268,Canon EOS 6D,CANON,87
9269,--,--,91
9270,ILCE-7RM4,SONY,90
9271,iPhone 12 mini,APPLE,91
9272,SM-A715F,SAMSUNG,91
9273,DMC-GF1,PANASONIC,91
9274,PENTAX KP          ,RICOH,87
9275,DC-TZ200,PANASONIC,91
9276,LEICA X-U (Typ 113),LEICA,91
9277,A9 Pro,UMIDIGI,91
9278,ILCE-7S,SONY,90
9279,DiMAGE Z5,KONICA,91
9280,VOG-L29,HUAWEI,91
9281,Canon EOS-1D X Mark III,CANON,87
9283,ILCE-6000,SONY,90
9284,X-S10,FUJIFILM,91
9285,Canon PowerShot SX540 HS,CANON,91
9286,FinePix SL1000,FUJIFILM,91
9287,iPhone 6s,APPLE,91
9288,NIKON D6,NIKON,87
9289,PENTAX KP,RICOH,87
9290,DC-GX9,PANASONIC,91
9291,PENTAX K-500      ,PENTAX,87
9292,DSC-RX100M3,SONY,91
9293,NIKON D3500,NIKON,87
9294,DC-G90,PANASONIC,91
9295,E-M5MarkII,OLYMPUS,91
9296,Canon EOS-1D Mark IV,CANON,87
9297,PENTAX K10D,PENTAX,87
9298,PENTAX K-3 Mark III,RICOH,87
9299,DC-TZ93,PANASONIC,91
9300,DSC-RX1,SONY,91
9301,NIKON Z fc,NIKON,90
9302,SM-A310F,SAMSUNG,91
9303,SNE-LX1,HUAWEI,91
9304,HUAWEI VNS-L31,HUAWEI,91
9305,Canon EOS Kiss X5,CANON,87
9306,YAL-L21,HUAWEI,91
9307,COOLPIX B700,NIKON,91
9308,KODAK EASYSHARE Z710 ZOOM DIGITAL CAMERA,EASTMAN,91
9309,Canon PowerShot S2 IS,CANON,91
9310,DC-S5,PANASONIC,90
9311,X-Pro1,FUJIFILM,91
9312,NIKON D3000,NIKON,87
9313,iPhone 6,APPLE,91
9314,DMC-FZ72,PANASONIC,91
9315,Canon EOS 850D,CANON,87
9316,PENTAX K-m         ,PENTAX,87
9317,Moto X Play,MOTOROLA,91
9318,PENTAX K-70        ,RICOH,87
9319,LG-H871S,LG,91
9320,Canon EOS 550D,CANON,87
9321,Canon PowerShot S95,CANON,91
9322,Canon PowerShot SX530 HS,CANON,91
9323,LEICA M (Typ 240),LEICA,91
9324,Canon PowerShot SX430 IS,CANON,91
9325,M8 Digital Camera,LEICA,91
9326,COOLPIX P510,NIKON,91
9327,ILCE-7M2,SONY,90
9328,Canon PowerShot ELPH 360 HS,CANON,91
9329,CLT-L09,HUAWEI,91
9330,ANE-LX1,HUAWEI,91
9331,X-E3,FUJIFILM,91
9332,Canon EOS 450D,CANON,87
9333,SM-G986B,SAMSUNG,91
9334,COOLPIX P900,NIKON,91
9335,SIGMA DP3 Merrill,SIGMA,91
9336,SLT-A99V,SONY,91
9337,NIKON D3X,NIKON,87
9338,NIKON Z 50,NIKON,90
9339,NIKON 1 V1,NIKON,91
9340,COOLPIX L830   ,NIKON,91
9341,NIKON D7000,NIKON,87
9342,NIKON D5100,NIKON,87
9343,Canon EOS 7D Mark II,CANON,87
9344,DMC-GX80,PANASONIC,91
9345,INE-LX1,HUAWEI,91
9346,DMC-G80,PANASONIC,91
9347,LEICA X2,LEICA,91
9348,Canon EOS REBEL T5i,CANON,87
9349,NIKON D80,NIKON,87
9350,PENTAX K-1 Mark II ,RICOH,87
9351,iPod touch,APPLE,91
9352,SM-G965U,SAMSUNG,91
9353,COOLPIX S7000,NIKON,91
9354,PENTAX K-3,RICOH,87
9355,LEICA SL2-S,LEICA,91
9357,Canon EOS 5D,CANON,87
9358,Canon PowerShot G9,CANON,91
9359,motorola one action,MOTOROLA,91
9361,TG-4            ,OLYMPUS,91
